User Name,First Name,Last Name,Email,User Details,Password,Is Password Encrypted(True/False),Enable User(Yes/No),Change Password on Next Login(Yes/No),User Identity Groups,Enable Password,Is Enable Password Encrypted(True/False),Password ID Store,Expiry Date(MM/dd/yyyy),Password Never Expires(Yes/No),Account Name Alias,Date Created (MM/dd/yyyy),Date Modified (MM/dd/yyyy)
alex,Alex,Insana,alex@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
armando,Armando,Cotilla,armando@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
sergio,Sergio,Villa,sergio@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
wilfriend,Wilfriend,Duval,wilfriend@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
anna,Anna,Mariano,anna@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
adriana,Adriana,Gilbert,adriana@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
maria,Maria,Plessis,maria@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
nicolina,Nicolina,Olander,nicolina@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
wan,Wan,Cheng,wan@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
dong,Dong,Ling,dong@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
yan,Yan,Jing,yan@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
wu,Wu,Ya,wu@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
ali,Ali,Kkan,ali@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
yasmin,Yasmin,Shah,yasmin@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
rahul,Rahul,Raj,rahul@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
amar,Amar,Gupta,amar@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
neha,Neha,Kamal,neha@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
aang,Aang,Leung,aang@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
tyrice,Tyrice,Wilson,tyrice@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
dace,Dace,Waters,dace@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
karah,Karah,Thornton,karah@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
eilane,Eilane,Brewer,eilane@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
alex,Alex,Garcia,alex@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
jane,Jane,Rodriguez,jane@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
paula,Paula,Wang,paula@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
michael,Michael,Chang,michael@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
wndy,Wndy,Lam,wndy@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
hr,,,hr@pseudoco.com,hr,C1sco12345,FALSE,Yes,No,HR,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
finance,,,finance@pseudoco.com,finance,C1sco12345,FALSE,Yes,No,Finance,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
sales,,,sales@pseudoco.com,sales,C1sco12345,FALSE,Yes,No,Sales,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
marketing,,,marketing@pseudoco.com,marketing,C1sco12345,FALSE,Yes,No,Marketing,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
it,,,it@pseudoco.com,it,C1sco12345,FALSE,Yes,No,IT,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
security,,,security@pseudoco.com,security,C1sco12345,FALSE,Yes,No,Security,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
engineering,,,engineering@pseudoco.com,engineering,C1sco12345,FALSE,Yes,No,Engineering,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
design,,,design@pseudoco.com,design,C1sco12345,FALSE,Yes,No,Design,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
manufacturing,,,manufacturing@pseudoco.com,manufacturing,C1sco12345,FALSE,Yes,No,Manufacturing ,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
ceo,,,ceo@pseudoco.com,ceo,C1sco12345,FALSE,Yes,No,Executive,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
cto,,,cto@pseudoco.com,cto,C1sco12345,FALSE,Yes,No,Executive,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
cio,,,cio@pseudoco.com,cio,C1sco12345,FALSE,Yes,No,Executive,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
ciso,,,ciso@pseudoco.com,ciso,C1sco12345,FALSE,Yes,No,Executive,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
cfo,,,cfo@pseudoco.com,cfo,C1sco12345,FALSE,Yes,No,Executive,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
